,/ang_vel,/position
1139,,0.016854644586509242
1140,,0.014690872646349272
1141,,0.01241321797249667
1142,,0.010021680564951441
1143,,0.007744025891098841
1144,,0.005466371217246241
1145,,0.00307483380970101
1146,,0.0009110618695410401
1147,,-0.0012527100706189302
1148,,-0.0034164820107789
1149,,-0.005238605749860981
1150,,-0.006946846755250431
1151,,-0.008427322293254621
1152,,-0.00956614963018092
1153,,-0.010363328766029332
1154,,-0.010818859700799852
1155,,-0.01104662516818511
1156,,-0.011274390635570371
1157,,-0.011388273369263003
1158,,-0.011274390635570371
1159,,-0.011160507901877741
1160,,-0.010932742434492482
1161,,-0.010477211499721962
1162,,-0.010021680564951441
1163,,-0.00945226689648829
1164,,-0.008768970494332512
1165,,-0.00808567409217673
1166,,-0.007288494956328321
1167,,-0.006491315820479911
1168,,-0.0056941366846315015
1169,,-0.0048969575487830905
1170,,-0.00398589567924205
1171,,-0.0031887165433936403
1172,,-0.00239153740754523
1173,,-0.0015943582716968201
1174,,-0.0007971791358484101
1175,,0.00011388273369263001
1176,,0.0009110618695410401
1177,,0.0015943582716968201
1178,,0.0022776546738526
1179,,0.00296095107600838
1180,,0.0035303647444715302
1181,,0.0040997784129346805
1182,,0.0045553093477052
1183,,0.0048969575487830905
1184,,0.005238605749860981
1185,,0.005466371217246241
1186,,0.0055802539509388705
1187,,0.0055802539509388705
1188,,0.0055802539509388705
1189,,0.0055802539509388705
1190,,0.0055802539509388705
1191,,0.0055802539509388705
1192,,0.0055802539509388705
1193,,0.0055802539509388705
1194,,0.0055802539509388705
1195,,0.0055802539509388705
1196,,0.0055802539509388705
1197,,0.0055802539509388705
1198,,0.0055802539509388705
1199,,0.0055802539509388705
1200,,0.0055802539509388705
1201,,0.005466371217246241
1202,,0.005466371217246241
1203,,0.00535248848355361
1204,,0.005124723016168351
1205,,0.005010840282475721
1206,,0.00478307481509046
1207,,0.00466919208139783
1208,,0.00444142661401257
1209,,0.004213661146627311
1210,,0.0038720129455494206
1211,,0.0035303647444715302
1212,,0.0033025992770862704
1213,,0.00296095107600838
1214,,0.0025054201412378603
1215,,0.0022776546738526
1216,,0.0019360064727747103
1217,,0.0015943582716968201
1218,,0.0012527100706189302
1219,,0.0007971791358484101
1220,,0.00045553093477052005
1221,,0.0
1222,,-0.00056941366846315
1223,,-0.0010249446032336701
1224,,-0.00148047553800419
1225,,-0.0019360064727747103
1226,,-0.0022776546738526
1227,,-0.0027331856086231206
1228,,-0.00307483380970101
1229,,-0.0034164820107789
1230,,-0.0037581302118567905
1231,,-0.0040997784129346805
1232,,-0.00444142661401257
1233,,-0.00466919208139783
1234,,-0.0048969575487830905
1235,,-0.005124723016168351
1236,,-0.00535248848355361
1237,,-0.0055802539509388705
1238,,-0.00592190215201676
1239,,-0.006035784885709391
1240,,-0.00626355035309465
1241,,-0.006491315820479911
1242,,-0.006719081287865171
1243,,-0.0068329640215578
1244,,-0.0070607294889430605
1245,,-0.0071746122226356915
1246,,-0.007288494956328321
1247,,-0.007288494956328321
1248,,-0.007288494956328321
1249,,-0.007288494956328321
1250,,-0.007288494956328321
1251,,-0.007288494956328321
1252,,-0.007288494956328321
1253,,-0.007288494956328321
1254,,-0.007288494956328321
1255,,-0.007288494956328321
1256,,-0.007288494956328321
1257,,-0.007288494956328321
1258,,-0.007288494956328321
1259,,-0.007288494956328321
1260,,-0.007288494956328321
1261,,-0.007288494956328321
1262,,-0.007288494956328321
1263,,-0.007288494956328321
1264,,-0.007288494956328321
1265,,-0.007288494956328321
1266,,-0.007288494956328321
1267,,-0.007288494956328321
1268,,-0.007288494956328321
1269,,-0.007288494956328321
1270,,-0.007288494956328321
1271,,-0.007288494956328321
1272,,-0.007288494956328321
1273,,-0.007288494956328321
1274,,-0.007288494956328321
1275,,-0.007288494956328321
1276,,-0.007288494956328321
1277,,-0.007288494956328321
1278,,-0.007288494956328321
1279,,-0.007288494956328321
1280,,-0.007288494956328321
1281,,-0.007288494956328321
1282,,-0.007288494956328321
1283,,-0.00740237769002095
1284,,-0.00740237769002095
1285,,-0.007516260423713581
1286,,-0.00763014315740621
1287,,-0.00785790862479147
1288,,-0.00808567409217673
1289,,-0.008313439559561991
1290,,-0.008541205026947251
1291,,-0.008655087760639881
1292,,-0.008996735961717772
1293,,-0.0091106186954104
1294,,-0.00933838416279566
1295,,-0.00956614963018092
1296,,-0.009907797831258811
1297,,-0.01013556329864407
1298,,-0.010477211499721962
1299,,-0.010818859700799852
1300,,-0.01104662516818511
1301,,-0.011274390635570371
1302,,-0.011616038836648261
1303,,-0.01184380430403352
1304,,-0.012071569771418782
1305,,-0.01229933523880404
1306,,-0.0125271007061893
1307,,-0.012754866173574561
1308,,-0.012982631640959821
1309,,-0.013210397108345082
